vin,vehicle_id,date,service_type,problem,solution,parts_replaced,labor_hours,cost_usd,technician,mileage,vehicle_company,service_status,dealership
VINGEN10000,2000,2025-10-07,Oil Change,Minor wear,Routine maintenance completed,Battery,4.5,313.46,Tech-110,56978,BMW,Completed,"Brigade Auto - Hebbal, Bangalore"
VINGEN10000,2000,2025-08-07,Engine Tune-up,Low fluid levels,Routine maintenance completed,Oil Filter,4.3,218.14,Tech-498,49438,BMW,Completed,"Brigade Auto - Hebbal, Bangalore"
VINGEN10001,2001,2025-09-27,Tire Rotation,Low fluid levels,Issue resolved,Oil Filter,2.9,106.22,Tech-417,55402,Audi,Completed,"SilkRoad Motors - Whitefield, Bangalore"
VINGEN10002,2002,2025-07-19,Tire Rotation,Low fluid levels,Issue resolved,Oil Filter,1.2,404.36,Tech-242,75953,Honda,Completed,"Nandi Autohaus - Koramangala, Bangalore"
VINGEN10002,2002,2024-12-06,Tire Rotation,Unusual noise,Issue resolved,Spark Plugs,4.2,275.72,Tech-839,88151,Honda,Completed,"Nandi Autohaus - Koramangala, Bangalore"
VINGEN10002,2002,2025-08-10,Oil Change,Unusual noise,Routine maintenance completed,Air Filter,4.5,145.16,Tech-427,53832,Honda,Completed,"Nandi Autohaus - Koramangala, Bangalore"
VINGEN10003,2003,2025-09-10,Oil Change,Minor wear,Routine maintenance completed,Air Filter,4.5,292.35,Tech-201,49702,Toyota,Completed,"Electronic City Autos - Electronic City, Bangalore"
VINGEN10003,2003,2025-02-12,Oil Change,Minor wear,Routine maintenance completed,Brake Pads,4,439.6,Tech-752,19208,Toyota,Completed,"Electronic City Autos - Electronic City, Bangalore"
VINGEN10003,2003,2025-03-03,Engine Tune-up,Check engine light,Issue resolved,Wiper Blades,1.1,286.67,Tech-176,86892,Toyota,Completed,"Electronic City Autos - Electronic City, Bangalore"
VINGEN10004,2004,2025-01-30,Battery Check,Low fluid levels,Routine maintenance completed,Air Filter,3.6,333.86,Tech-888,84197,Skoda,Completed,"Deccan Auto - Indiranagar, Bangalore"
VINGEN10004,2004,2025-02-25,Routine Check,Low fluid levels,Routine maintenance completed,None,4.8,286.72,Tech-135,76669,Skoda,Completed,"Deccan Auto - Indiranagar, Bangalore"
VINGEN10005,2005,2025-07-12,Battery Check,Unusual noise,Routine maintenance completed,Oil Filter,3.9,238.91,Tech-426,67444,Mahindra,Completed,"Brigade Auto - Hebbal, Bangalore"
VINGEN10006,2006,2025-01-13,Tire Rotation,Minor wear,Routine maintenance completed,Oil Filter,5.2,228.26,Tech-658,70701,Volkswagen,Completed,"SilkRoad Motors - Whitefield, Bangalore"
VINGEN10007,2007,2025-08-10,Tire Rotation,Unusual noise,Routine maintenance completed,Oil Filter,3,268.77,Tech-112,19873,Hyundai,Completed,"Nandi Autohaus - Koramangala, Bangalore"
VINGEN10007,2007,2025-02-05,Brake Inspection,Low fluid levels,Routine maintenance completed,Spark Plugs,1.7,221.81,Tech-862,49272,Hyundai,Completed,"Nandi Autohaus - Koramangala, Bangalore"
VINGEN10008,2008,2025-03-23,Routine Check,Unusual noise,Routine maintenance completed,Wiper Blades,1.9,184.88,Tech-750,51584,Kia,Completed,"Electronic City Autos - Electronic City, Bangalore"
VINGEN10008,2008,2025-05-10,Oil Change,Low fluid levels,Routine maintenance completed,Spark Plugs,3.9,336.07,Tech-433,59629,Kia,Completed,"Electronic City Autos - Electronic City, Bangalore"
VINGEN10009,2009,2025-03-29,Battery Check,Unusual noise,Routine maintenance completed,Brake Pads,1.4,301.12,Tech-638,32151,Renault,Completed,"Deccan Auto - Indiranagar, Bangalore"